Model,Accuracy,Precision,Recall,F1,ROC AUC,Time
Logistic Regression,0.8308576070558199,0.456169960094793,0.3790998273756894,0.38474301008746553,0.7604112468076899,23.84
Random Forest Classifier,0.8348903330625508,0.47288179491702736,0.3805191930575203,0.3869963691829501,0.7561489665198607,34.96
SVC,0.20627828710688176,0.28292559413351065,0.29922486955837585,0.13804357479828358,0.5509493199346956,721.73
KNN,0.8189915283741441,0.4296129394429733,0.38363251866247294,0.390194393170092,0.6749537997090652,35.98
MLP Classifier,0.8337878612045956,0.46722599706130286,0.381412927476421,0.38813567380302666,0.7630410884026829,45.02
Decision Tree,0.8233724033886504,0.43656534190481383,0.39121336441964777,0.39886410195992666,0.6929154524210676,0.31
Extra Trees Classifier,0.8305674828826738,0.45576365827149073,0.3822765386046673,0.38911766948829407,0.727855291731295,5.49
XGBoost,0.8277822908204712,0.4480244638998457,0.39479178672065135,0.4040032715323077,0.7418658147594123,27.05
LightGBM,0.8356156434954161,0.4744485741298948,0.38431098386756674,0.3923105550828108,0.7666095167148707,3.24
CatBoost,0.8350063827318092,0.47202690933071945,0.38385959528466246,0.39163480728507766,0.7670297118370596,37.0
Neural Network,0.834281072298944,0.46761637118796556,0.38480240244474406,0.3927385576967955,0.7670297118370596,577.28
